City,Country,Lat,Long,Temp,Feel Like,Humidity,Cloud %
Constitución,CL,-35.33,-72.42,47.41,43.03,85,100
Lusambo,CD,-4.97,23.45,70.27,76.5,93,96
Tarakan,ID,3.3,117.63,78.75,85.12,76,100
Temerloh,MY,3.45,102.42,90.82,96.51,52,99
Yumen,CN,40.28,97.2,68.13,59.23,33,98
Tarko-Sale,RU,64.92,77.78,36.0,26.04,93,96
Paragominas,BR,-2.97,-47.48,69.93,75.94,97,99
Alvand,IR,36.32,49.17,44.51,37.98,72,75
Prince Rupert,CA,54.32,-130.32,53.6,52.25,93,90
Aksaray,TR,38.37,34.03,55.4,49.8,62,0
Kutum,SD,14.2,24.67,76.87,79.47,59,23
North Platte,US,41.12,-100.77,42.91,34.5,60,1
Pishin,PK,30.58,67.0,73.9,67.6,18,0
Kargat,RU,55.2,80.28,39.61,24.51,72,94
Nikolskoye,RU,59.7,30.79,50.34,47.48,93,90
Māngrol,IN,21.12,70.12,83.35,86.94,67,4
Kieta,PG,-6.22,155.63,81.45,85.89,71,100
Ariquemes,BR,-9.91,-63.04,73.81,79.45,86,48
Comodoro Rivadavia,AR,-45.87,-67.5,42.8,34.93,81,40
Vostok,RU,46.49,135.88,53.69,46.11,59,37
Celestún,MX,20.87,-90.4,82.62,86.2,80,99
Glendive,US,47.11,-104.71,50.0,40.96,37,1
Ahipara,NZ,-35.17,173.17,55.0,45.61,65,30
Tornio,FI,65.85,24.15,44.6,38.8,100,65
Guangyuan,CN,32.44,105.82,70.0,71.76,70,22
Kaélé,CM,10.11,14.45,71.64,78.39,95,100
Sandwick,GB,60.0,-1.25,51.8,44.94,87,0
São Borja,BR,-28.66,-56.0,53.58,48.79,79,0
Līsakovsk,KZ,52.54,62.49,54.64,49.87,69,1
Charters Towers,AU,-20.1,146.27,83.37,74.88,37,100
Homer,US,59.64,-151.55,47.82,41.81,76,75
Nanchang,CN,28.68,115.88,68.58,73.44,92,100
Rundu,NA,-17.93,19.77,63.01,55.04,26,59
Okha,RU,53.57,142.95,50.99,41.61,86,100
Progreso,MX,21.28,-89.67,82.4,90.5,83,5
Mogadishu,SO,2.04,45.34,79.52,81.39,78,15
Iki-Burul,RU,45.82,44.65,48.2,37.69,81,0
Port Hedland,AU,-20.32,118.57,100.4,91.8,8,75
Ponta Delgada,PT,37.73,-25.67,68.0,66.36,82,20
Qaqortoq,GL,60.72,-46.03,28.4,19.8,58,0
Teguise,ES,29.06,-13.56,73.4,72.32,64,90
Flin Flon,CA,54.77,-101.86,47.43,41.16,90,61
Codrington,AU,-38.27,141.97,64.04,57.06,70,100
Alihe,CN,50.57,123.72,54.12,47.93,44,20
Ciudad Guayana,VE,8.35,-62.65,79.0,86.54,82,100
Khasan,RU,42.43,130.64,61.21,55.18,64,100
Mukhen,RU,48.1,136.1,58.19,50.45,60,44
Berwick,US,41.05,-76.23,68.32,68.07,82,90
Lavrentiya,RU,65.58,-171.0,33.78,29.48,86,43
Kushmurun,KZ,52.45,64.63,56.41,52.02,69,5
Badou,TG,7.58,0.6,71.53,77.67,90,90
Marabba,SD,12.35,32.18,81.64,83.97,67,19
Colares,PT,38.8,-9.45,64.0,60.1,74,3
Durango,MX,24.83,-104.83,57.13,55.96,87,74
Chopda,IN,21.25,75.3,82.6,86.86,67,38
La Sarre,CA,48.8,-79.2,57.45,53.58,98,100
Basco,PH,20.45,121.97,82.33,86.92,81,38
Coari,BR,-4.08,-63.14,76.32,81.68,79,32
Sitka,US,57.05,-135.33,51.8,48.25,81,40
Buritis,BR,-15.62,-46.42,74.46,71.73,29,17
Rio Brilhante,BR,-21.8,-54.55,71.28,74.88,84,35
Terrace,CA,54.52,-128.6,51.8,49.19,93,90
Macapá,BR,0.04,-51.07,80.6,87.01,83,40
Pedro Carbo,EC,-1.83,-80.23,70.83,67.71,78,40
Shache,CN,38.42,77.24,72.72,67.42,20,98
Pangnirtung,CA,66.15,-65.71,27.36,22.19,93,94
Los Llanos de Aridane,ES,28.66,-17.92,71.6,67.69,83,75
Mt. Pleasant,US,32.79,-79.86,76.5,83.37,94,90
St. Pete Beach,US,27.73,-82.74,77.95,86.31,94,1
Moa,CU,20.66,-74.94,78.57,83.23,79,6
Portland,US,45.52,-122.68,71.69,68.59,42,0
Skibbereen,IE,51.55,-9.27,48.2,43.23,81,20
Rio Verde de Mato Grosso,BR,-18.92,-54.84,81.72,79.56,48,67
Yatou,CN,37.15,122.38,73.08,72.01,55,100
Calderitas,MX,18.55,-88.25,81.28,88.29,80,61
Zapolyarnyy,RU,69.42,30.81,51.8,41.67,87,75
Pierre,US,44.37,-100.35,48.29,41.7,57,1
Peniche,PT,39.36,-9.38,58.05,53.64,91,13
Kiryat Gat,IL,31.61,34.76,76.3,81.5,78,40
Caravelas,BR,-17.71,-39.25,74.5,77.07,83,47
Marsh Harbour,BS,26.54,-77.06,81.99,84.2,75,97
Astara,AZ,38.5,48.67,48.18,45.14,100,90
Noumea,NC,-22.28,166.46,69.84,65.44,72,90
Govlyar,AZ,40.95,45.73,59.0,56.43,72,75
Eston,CA,51.15,-108.75,54.16,47.34,58,20
Little Current,CA,45.98,-81.92,54.09,47.57,93,90
Menongue,AO,-14.66,17.69,58.66,52.07,32,72
Bogorodskoye,RU,56.55,37.88,49.08,42.1,64,82
Umluj,SA,25.02,37.27,94.89,90.03,25,0
Hearst,CA,49.68,-83.67,51.33,50.0,98,100
Marechal Cândido Rondon,BR,-24.56,-54.06,66.4,64.67,62,0
Udachny,RU,66.42,112.4,26.6,14.52,92,90
Ucluelet,CA,48.93,-125.55,55.99,55.0,87,0
Ōdachō-ōda,JP,35.18,132.5,77.0,75.97,47,20
Shirvan,AZ,39.95,48.9,69.84,62.55,35,6
Belaya Gora,RU,68.53,146.42,47.03,38.89,65,100
Trairi,BR,-3.28,-39.27,78.1,79.23,79,61
De Aar,ZA,-30.65,24.01,45.5,37.74,51,0
Bilibino,RU,68.05,166.44,39.09,34.5,71,23
Manicoré,BR,-5.81,-61.3,75.2,84.4,100,9
Ashtabula,US,41.7,-80.77,57.04,55.33,93,90
Mount Gambier,AU,-37.83,140.77,68.0,55.65,42,75
Tautira,PF,-17.73,-149.15,80.29,82.98,69,20
Manoel Urbano,BR,-8.84,-69.26,69.1,74.32,97,99
Tegul'det,RU,57.31,88.17,37.38,26.76,78,100
Lorengau,PG,-2.02,147.27,85.33,89.35,67,35
Karaton,ID,-6.34,106.1,88.48,92.14,52,20
Zaraza,VE,9.35,-65.32,71.42,78.03,97,98
Am Timan,TD,11.03,20.28,71.56,75.81,94,38
Santander,ES,43.46,-3.8,55.26,55.0,93,100
Haverfordwest,GB,51.8,-4.97,48.79,47.93,100,31
Huittinen,FI,61.18,22.7,51.24,47.86,93,90
Victor Harbor,AU,-35.57,138.62,58.66,57.02,67,100
Inongo,CD,-1.95,18.27,68.5,72.77,95,96
Kendari,ID,-3.94,122.5,88.97,94.28,54,89
Lyubytino,RU,58.81,33.39,48.54,44.37,89,89
Salamiyah,SY,35.01,37.05,77.88,75.94,40,0
Kokubu-matsuki,JP,31.73,130.77,77.0,74.71,47,20
San Nicolas,PH,18.17,120.6,87.8,96.37,74,75
Muisne,EC,0.6,-80.03,73.69,75.63,87,96
Westport,US,41.14,-73.36,66.88,67.51,88,75
Littlehampton,GB,50.81,-0.54,61.0,61.84,95,97
Tahe,CN,52.33,124.73,51.55,42.48,46,0
Nara,JP,34.69,135.8,81.43,83.3,54,75
Lakhipur,IN,26.03,90.3,87.71,97.86,71,0
Port-Gentil,GA,-0.72,8.78,76.84,78.42,73,96
Kulachi,PK,31.93,70.46,92.21,85.86,16,0
Vaitape,PF,-16.52,-151.75,78.42,75.24,80,4
Tegal,ID,-6.87,109.14,89.02,95.31,53,10
Chumikan,RU,54.72,135.31,47.08,41.38,83,99
Alexandria,EG,31.22,29.96,73.4,78.21,88,0
Spornoye,RU,50.84,37.29,53.6,44.26,50,100
Bukachacha,RU,52.98,116.92,52.09,44.31,44,0
Tequila,MX,20.88,-103.83,65.98,68.43,90,98
Dwārka,IN,22.24,68.97,83.14,84.47,65,0
Ambilobe,MG,-13.2,49.05,83.23,84.94,44,6
Mandera,KE,3.94,41.87,80.17,78.44,61,7
Ayan,RU,56.45,138.17,49.82,40.24,76,100
Constantine,DZ,36.37,6.61,48.2,45.05,81,0
Calvinia,ZA,-31.47,19.78,41.97,36.54,67,0
Basqal,AZ,40.76,48.39,59.0,56.17,62,75
Tevriz,RU,57.51,72.4,42.8,35.91,66,73
Talcahuano,CL,-36.72,-73.12,46.4,42.85,87,100
Genhe,CN,50.78,121.52,52.72,46.26,43,13
Sennar,SD,13.57,33.57,82.36,83.46,69,8
Dwārāhāt,IN,29.78,79.43,77.0,79.03,55,0
Ottawa,CA,45.41,-75.7,70.2,67.35,68,75
Kalāleh,IR,37.38,55.49,64.4,61.68,68,20
Coahuayana Viejo,MX,18.73,-103.68,80.35,88.56,80,89
Lalín,ES,42.72,-8.12,48.04,45.75,93,88
Upata,VE,8.01,-62.4,79.0,86.54,82,100
Tabou,CI,4.42,-7.35,75.92,81.68,91,85
Greystones,IE,53.14,-6.06,39.4,35.17,100,84
Liverpool,GB,53.41,-2.98,48.79,47.44,93,2
Neuquén,AR,-38.95,-68.06,53.6,44.24,50,99
Guozhen,CN,34.37,107.36,80.01,80.4,40,0
Inhambane,MZ,-23.86,35.38,71.6,78.51,100,20
Dutse,NG,11.76,9.34,76.05,78.78,71,99
Sorrento,IT,40.63,14.37,55.26,55.0,93,23
Havre-St-Pierre,CA,50.23,-63.6,57.2,54.91,93,90
Kuna,US,43.49,-116.42,54.93,50.85,66,1
Porto-Novo,BJ,6.5,2.6,75.67,81.01,89,99
Dali,CN,25.7,100.18,74.82,75.49,62,36
Voh,NC,-20.97,164.7,69.37,65.48,75,91
Kaitangata,NZ,-46.28,169.85,36.0,22.41,75,99
Siedlce,PL,52.17,22.29,51.01,45.84,86,100
Natal,BR,-5.79,-35.21,72.54,77.25,94,20
Lázaro Cárdenas,MX,17.96,-102.2,80.26,86.72,76,98
Kabarnet,KE,0.49,35.74,50.0,48.42,93,32
Aras,ES,42.56,-2.36,47.86,45.01,93,100
Gujar Khan,PK,33.26,73.3,80.28,74.8,39,0
Xinzhi,CN,36.5,111.7,68.76,67.82,65,82
Vilcún,CL,-38.65,-72.23,48.2,45.03,87,90
Kilindoni,TZ,-7.91,39.67,77.72,79.9,76,95
Okhotsk,RU,59.38,143.3,49.66,44.64,60,99
Fort Nelson,CA,58.81,-122.7,41.0,35.04,75,75
Tilichiki,RU,60.47,166.1,43.61,34.05,84,100
Meadow Lake,US,34.8,-106.54,53.26,39.6,24,20
Ukiah,US,39.15,-123.21,70.02,66.54,35,1
Tooele,US,40.53,-112.3,52.48,45.05,46,1
Wilmington,US,34.23,-77.94,72.39,77.02,94,20
Bockenem,DE,52.01,10.13,44.35,41.65,86,0
Iaçu,BR,-12.77,-40.21,72.36,74.93,80,39
Erenhot,CN,43.65,111.98,54.46,49.86,36,0
Agutaya,PH,11.15,120.94,84.2,87.58,71,99
Mazatlán,MX,23.22,-106.42,85.95,96.08,88,40
Port Antonio,JM,18.18,-76.46,79.03,82.78,74,20
Khlung,TH,12.45,102.22,84.06,92.84,94,90
Chipinge,ZW,-20.19,32.62,65.57,67.82,91,80
Santa Rosa,PH,14.31,121.11,90.34,96.98,66,20
Batticaloa,LK,7.71,81.69,85.55,93.18,66,71
Bahía Honda,CU,22.9,-83.16,78.04,84.02,86,77
Moussoro,TD,13.64,16.49,84.87,86.79,55,91
Almaznyy,RU,48.04,40.05,53.6,40.55,66,89
Montepuez,MZ,-13.13,39.0,72.99,73.76,66,66
Beyneu,KZ,45.32,55.2,61.5,54.1,31,49
Arvika,SE,59.66,12.59,53.6,51.44,100,86
Birao,CF,10.28,22.79,71.22,75.99,93,0
Uruaçu,BR,-14.52,-49.14,77.4,73.94,23,39
Koson,UZ,39.04,65.58,53.6,49.23,81,75
Sarakhs,IR,36.54,61.16,55.4,44.64,62,40
Serebryansk,KZ,49.69,83.29,44.6,41.31,87,90
Impfondo,CG,1.64,18.07,68.99,74.79,98,99
Fangshan,CN,39.7,115.99,63.72,64.58,99,100
Zhangjiakou,CN,40.81,114.88,57.97,53.67,43,85
Ginda,IN,30.69,78.49,80.6,84.38,61,0
Kashgar,CN,39.45,75.98,66.2,61.9,32,20
Zhoucheng,CN,35.91,116.31,81.03,80.2,38,45
Novikovo,RU,51.15,37.89,55.26,43.2,41,100
Whitecourt,CA,54.15,-115.69,59.0,50.52,51,40
Emba,KZ,48.83,58.14,61.84,55.47,41,48
Batagay,RU,67.63,134.63,47.07,40.17,54,23
Borovoy,RU,55.43,86.08,41.0,36.09,93,90
Øksfjord,NO,70.24,22.35,51.51,39.6,81,75
Arbagar,RU,51.94,116.28,53.31,46.26,42,0
Johnson City,US,36.31,-82.35,66.7,71.06,93,75
Morris,US,40.83,-74.53,64.71,64.96,88,1
Parrita,CR,9.52,-84.32,66.58,70.68,100,75
Whitehorse,CA,60.72,-135.05,42.85,29.91,60,20
Lonār,IN,19.98,76.53,80.4,82.42,68,0
Ayagoz,KZ,47.97,80.44,44.82,38.35,57,0
Ibrā’,OM,22.69,58.53,86.29,85.93,35,0
Bonavista,CA,48.65,-53.11,60.21,51.76,90,82
Roebourne,AU,-20.78,117.13,92.79,85.96,13,54
Alingsås,SE,57.93,12.53,47.43,42.48,93,80
Gumdag,TM,39.21,54.59,61.57,48.96,31,1
